stream,metric,method,bwt,memory_mb,p99_ms,near_rt,vs_ref,ci,d_z,p,holm,avg_perf,forgetting
radio-shift,avg_perf,agem,,3.998,0.91,True,+0.0095,"[+0.0083, +0.0107]",6.26,0.0652,,"-0.0698 [-0.0710, -0.0686]",
radio-shift,avg_perf,bilevel,,0.761,0.92,True,+0.0072,"[+0.0051, +0.0088]",2.99,0.0652,,"-0.0722 [-0.0743, -0.0704]",
radio-shift,avg_perf,ewc,,1.522,1.03,True,+0.0087,"[+0.0074, +0.0099]",5.41,0.0652,,"-0.0707 [-0.0720, -0.0694]",
radio-shift,avg_perf,finetune,,0.0,0.92,True,+0.0088,"[+0.0076, +0.0101]",5.62,0.0652,,"-0.0705 [-0.0719, -0.0693]",
radio-shift,avg_perf,joint,,0.0,0.93,True,+0.0094,"[+0.0079, +0.0109]",4.76,0.0652,,"-0.0700 [-0.0711, -0.0688]",
radio-shift,avg_perf,lwf,,0.761,0.9,True,+0.0098,"[+0.0094, +0.0101]",21.14,0.0652,,"-0.0696 [-0.0699, -0.0693]",
radio-shift,avg_perf,nestedric,,3.999,3.97,True,-0.0092,"[-0.0111, -0.0073]",-3.84,0.0652,,"-0.0886 [-0.0902, -0.0870]",
radio-shift,avg_perf,replay,,3.998,0.9,True,,,,,,"-0.0794 [-0.0798, -0.0789]",
radio-shift,avg_perf,si,,3.043,0.9,True,+0.0047,"[+0.0030, +0.0062]",2.25,0.0652,,"-0.0746 [-0.0767, -0.0729]",
radio-shift,avg_perf,titans,,4.0,1.5,True,+0.0088,"[+0.0075, +0.0099]",5.56,0.0652,,"-0.0705 [-0.0719, -0.0694]",
sched-shift,avg_perf,agem,,3.998,0.95,True,+0.0066,"[+0.0056, +0.0074]",5.57,0.0652,,"-0.0538 [-0.0544, -0.0533]",
sched-shift,avg_perf,bilevel,,0.761,0.91,True,+0.0055,"[+0.0046, +0.0063]",5.27,0.0652,,"-0.0548 [-0.0554, -0.0543]",
sched-shift,avg_perf,ewc,,1.522,1.17,True,+0.0061,"[+0.0052, +0.0070]",5.01,0.0652,,"-0.0542 [-0.0547, -0.0537]",
sched-shift,avg_perf,finetune,,0.0,0.93,True,+0.0062,"[+0.0051, +0.0072]",4.67,0.0652,,"-0.0542 [-0.0546, -0.0537]",
sched-shift,avg_perf,joint,,0.0,0.89,True,+0.0066,"[+0.0044, +0.0087]",2.54,0.0652,,"-0.0537 [-0.0546, -0.0530]",
sched-shift,avg_perf,lwf,,0.761,0.89,True,+0.0073,"[+0.0062, +0.0085]",5.08,0.0652,,"-0.0531 [-0.0533, -0.0528]",
sched-shift,avg_perf,nestedric,,3.999,2.19,True,-0.0073,"[-0.0103, -0.0044]",-1.89,0.0652,,"-0.0677 [-0.0700, -0.0653]",
sched-shift,avg_perf,replay,,3.998,0.91,True,,,,,,"-0.0603 [-0.0618, -0.0591]",
sched-shift,avg_perf,si,,3.043,0.91,True,+0.0050,"[+0.0040, +0.0060]",3.95,0.0652,,"-0.0553 [-0.0563, -0.0544]",
sched-shift,avg_perf,titans,,4.0,1.0,True,+0.0061,"[+0.0049, +0.0071]",4.44,0.0652,,"-0.0543 [-0.0548, -0.0537]",
slice-shift,avg_perf,agem,,3.998,1.0,True,+0.0068,"[+0.0059, +0.0076]",5.69,0.0652,,"-0.0647 [-0.0649, -0.0644]",
slice-shift,avg_perf,bilevel,,0.761,0.93,True,-0.0029,"[-0.0067, -0.0004]",-0.68,0.1269,,"-0.0743 [-0.0784, -0.0712]",
slice-shift,avg_perf,ewc,,1.522,0.97,True,-0.0039,"[-0.0053, -0.0024]",-2.09,0.0652,,"-0.0753 [-0.0774, -0.0732]",
slice-shift,avg_perf,finetune,,0.0,0.91,True,-0.0033,"[-0.0045, -0.0017]",-1.77,0.0652,,"-0.0748 [-0.0762, -0.0730]",
slice-shift,avg_perf,joint,,0.0,0.92,True,+0.0043,"[+0.0007, +0.0072]",1.04,0.1263,,"-0.0672 [-0.0700, -0.0649]",
slice-shift,avg_perf,lwf,,0.761,0.89,True,+0.0022,"[+0.0011, +0.0036]",1.36,0.0652,,"-0.0693 [-0.0703, -0.0677]",
slice-shift,avg_perf,nestedric,,3.999,2.39,True,-0.0255,"[-0.0310, -0.0200]",-3.63,0.0652,,"-0.0969 [-0.1017, -0.0922]",
slice-shift,avg_perf,replay,,3.998,1.08,True,,,,,,"-0.0714 [-0.0724, -0.0706]",
slice-shift,avg_perf,si,,3.043,0.96,True,-0.0009,"[-0.0034, +0.0013]",-0.32,0.5672,,"-0.0724 [-0.0740, -0.0709]",
slice-shift,avg_perf,titans,,4.0,1.06,True,-0.0036,"[-0.0049, -0.0025]",-2.38,0.0652,,"-0.0751 [-0.0761, -0.0737]",
cross-dataset,forgetting,agem,,3.998,1.02,True,-0.0044,"[-0.0053, -0.0036]",-3.98,0.0652,,,"0.0019 [0.0013, 0.0026]"
cross-dataset,forgetting,bilevel,,0.761,0.9,True,+0.0196,"[+0.0162, +0.0231]",4.35,0.0652,,,"0.0260 [0.0227, 0.0293]"
cross-dataset,forgetting,ewc,,1.522,0.95,True,+0.0119,"[+0.0103, +0.0147]",3.91,0.0652,,,"0.0183 [0.0166, 0.0206]"
